                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                0.79206,                0.36263,                0.78613,                0.93159,                0.74394,                0.82692,                0.56606,                0.82758,                0.40655,                0.78661,             0.00047038,             0.00047038,             0.00047038
                     65,                0.81121,                0.37477,                0.78177,                0.92631,                0.72308,                 0.8164,                0.57627,                 0.7616,                0.38832,                0.78504,               0.000458,               0.000458,               0.000458
                     66,                0.76691,                0.35512,                0.78104,                0.90965,                0.73394,                0.82616,                0.57289,                0.77493,                0.38864,                0.78617,             0.00044563,             0.00044563,             0.00044563
                     67,                0.77891,                0.36009,                0.78462,                0.91474,                0.77306,                0.82455,                0.56323,                 0.7766,                0.37891,                0.78816,             0.00043325,             0.00043325,             0.00043325
                     68,                0.78054,                0.37365,                0.78228,                0.94071,                0.74479,                0.83151,                0.55621,                0.79504,                0.39778,                0.78689,             0.00042087,             0.00042087,             0.00042087
                     69,                0.78714,                 0.3757,                0.78228,                0.93147,                0.77861,                0.82472,                0.56566,                0.78262,                0.38741,                0.78712,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.7916,                0.37286,                0.78332,                 0.9457,                0.72586,                0.80245,                0.55532,                0.79812,                0.39851,                0.78639,             0.00039613,             0.00039613,             0.00039613
                     71,                0.76381,                0.36412,                0.77891,                0.92642,                0.73965,                0.80082,                0.56203,                0.78783,                0.39813,                0.78628,             0.00038375,             0.00038375,             0.00038375
                     72,                0.75742,                0.35618,                0.78117,                0.88213,                0.73686,                0.80636,                0.56713,                0.76006,                0.38171,                 0.7855,             0.00037138,             0.00037138,             0.00037138
                     73,                  0.753,                0.35277,                0.77935,                  0.928,                0.74027,                0.82517,                0.56759,                0.77262,                0.38358,                0.78702,               0.000359,               0.000359,               0.000359
                     74,                0.74995,                0.35076,                0.78115,                0.93232,                0.73092,                0.82221,                 0.5779,                0.76437,                0.38325,                0.78569,             0.00034663,             0.00034663,             0.00034663
                     75,                0.74162,                0.35167,                0.78105,                0.95154,                0.71543,                0.80177,                0.55693,                0.78665,                0.39115,                0.78867,             0.00033425,             0.00033425,             0.00033425
                     76,                0.75272,                0.35213,                0.77967,                0.94432,                0.73623,                0.81329,                 0.5708,                0.77029,                0.39044,                 0.7869,             0.00032188,             0.00032188,             0.00032188
                     77,                0.74407,                0.34741,                0.78054,                0.91393,                0.71806,                0.80728,                0.57494,                0.78617,                0.39558,                0.78783,              0.0003095,              0.0003095,              0.0003095
                     78,                0.76277,                0.35198,                0.78199,                0.95233,                0.72428,                0.80479,                0.57954,                0.77587,                0.38312,                0.78651,             0.00029713,             0.00029713,             0.00029713
                     79,                0.72111,                0.33605,                0.77913,                 0.9283,                0.73836,                0.80829,                0.56916,                0.76228,                0.37847,                0.78624,             0.00028475,             0.00028475,             0.00028475
                     80,                0.74812,                0.34476,                0.77912,                0.86462,                0.76123,                0.82448,                0.57984,                0.77317,                0.38333,                0.78623,             0.00027237,             0.00027237,             0.00027237
                     81,                0.72627,                0.33924,                0.77922,                0.94076,                0.72732,                0.81979,                0.57442,                0.77755,                  0.384,                0.78616,                0.00026,                0.00026,                0.00026
                     82,                 0.7371,                0.34094,                0.77907,                0.86945,                0.73285,                0.80094,                0.57496,                0.75913,                0.38163,                 0.7848,             0.00024762,             0.00024762,             0.00024762
